Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1991,Member States,PL,Poland,t CO2 equivalent,499.3949316,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,PL,Poland,t CO2 equivalent,771.5094096,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,PL,Poland,t CO2 equivalent,432.7454676,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,PL,Poland,t CO2 equivalent,431.0923224,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,PL,Poland,t CO2 equivalent,453.0639,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,PL,Poland,t CO2 equivalent,532.7671188,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,PL,Poland,t CO2 equivalent,685.3711548,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,PL,Poland,t CO2 equivalent,853.1443668,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,PL,Poland,t CO2 equivalent,1183.602762,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,PL,Poland,t CO2 equivalent,924.3308112,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,PL,Poland,t CO2 equivalent,844.076544,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,PL,Poland,t CO2 equivalent,873.7689372,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,PL,Poland,t CO2 equivalent,921.296976,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,PL,Poland,t CO2 equivalent,819.86709,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,PL,Poland,t CO2 equivalent,1042.3656528,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,PL,Poland,t CO2 equivalent,955.3702116,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,PL,Poland,t CO2 equivalent,804.7591416,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,PL,Poland,t CO2 equivalent,893.0740452,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,PL,Poland,t CO2 equivalent,801.1154112,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,PL,Poland,t CO2 equivalent,696.8398332,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,PL,Poland,t CO2 equivalent,548.3319486,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,PL,Poland,t CO2 equivalent,463.8409428,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,PL,Poland,t CO2 equivalent,449.3650008,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,PL,Poland,t CO2 equivalent,471.125355,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,PL,Poland,t CO2 equivalent,610.199472,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,PL,Poland,t CO2 equivalent,580.686942,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,PL,Poland,t CO2 equivalent,843.805210086,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,PL,Poland,t CO2 equivalent,856.320165372,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,PL,Poland,t CO2 equivalent,875.165382648,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,PL,Poland,t CO2 equivalent,956.127065036,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,PL,Poland,t CO2 equivalent,1102.502383601,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,NL,Netherlands,t CO2 equivalent,35273.141234783,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,NL,Netherlands,t CO2 equivalent,36087.865770093,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,NL,Netherlands,t CO2 equivalent,36086.923943550,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,NL,Netherlands,t CO2 equivalent,34615.521053256,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,NL,Netherlands,t CO2 equivalent,35569.825219982,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,NL,Netherlands,t CO2 equivalent,34966.882002149,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,NL,Netherlands,t CO2 equivalent,36361.869414907,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,NL,Netherlands,t CO2 equivalent,39097.396186949,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,NL,Netherlands,t CO2 equivalent,39099.028126468,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,NL,Netherlands,t CO2 equivalent,40475.899054987,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,NL,Netherlands,t CO2 equivalent,42731.38544793,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,NL,Netherlands,t CO2 equivalent,46745.127611408,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,NL,Netherlands,t CO2 equivalent,46363.037050072,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,NL,Netherlands,t CO2 equivalent,43508.949746248,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,NL,Netherlands,t CO2 equivalent,47425.286560881,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,NL,Netherlands,t CO2 equivalent,50804.655753968,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,NL,Netherlands,t CO2 equivalent,54200.350471882,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,NL,Netherlands,t CO2 equivalent,55503.933052154,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,NL,Netherlands,t CO2 equivalent,53306.487535040,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,NL,Netherlands,t CO2 equivalent,47568.212162912,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,NL,Netherlands,t CO2 equivalent,45029.175992195,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,NL,Netherlands,t CO2 equivalent,48530.209130039,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,NL,Netherlands,t CO2 equivalent,44626.008165965,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,NL,Netherlands,t CO2 equivalent,42812.186318338,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
